17616,JUMP_TARGET,-1,case SQLITE,,24,case,6,<empty>
17947,JUMP_TARGET,-1,"case ""low""",,19,case,1,<empty>
17951,JUMP_TARGET,-1,"case ""medium""",,22,case,4,<empty>
17957,JUMP_TARGET,-1,"case ""high""",,26,case,8,<empty>
17961,JUMP_TARGET,-1,default,,29,default,11,<empty>
18186,JUMP_TARGET,-1,case MYSQL,,9,case,1,<empty>
18226,JUMP_TARGET,-1,case SQLITE,,26,case,8,<empty>
18361,JUMP_TARGET,-1,case MYSQL,,15,case,1,<empty>
18373,JUMP_TARGET,-1,case SQLITE,,23,case,7,<empty>
18487,JUMP_TARGET,-1,case MYSQL,,9,case,1,<empty>
18527,JUMP_TARGET,-1,case SQLITE,,24,case,8,<empty>
18628,JUMP_TARGET,-1,case MYSQL,,9,case,1,<empty>
18679,JUMP_TARGET,-1,case SQLITE,,26,case,8,<empty>
18816,JUMP_TARGET,-1,"case ""low""",,18,case,1,<empty>
18820,JUMP_TARGET,-1,"case ""medium""",,21,case,4,<empty>
18824,JUMP_TARGET,-1,"case ""high""",,24,case,7,<empty>
18828,JUMP_TARGET,-1,default,,27,default,10,<empty>
19583,JUMP_TARGET,-1,"case ""fi""",,17,case,1,<empty>
19587,JUMP_TARGET,-1,"case ""brute""",,20,case,4,<empty>
19591,JUMP_TARGET,-1,"case ""csrf""",,23,case,7,<empty>
19595,JUMP_TARGET,-1,"case ""exec""",,26,case,10,<empty>
19599,JUMP_TARGET,-1,"case ""sqli""",,29,case,13,<empty>
19603,JUMP_TARGET,-1,"case ""sqli_blind""",,32,case,16,<empty>
19607,JUMP_TARGET,-1,"case ""upload""",,35,case,19,<empty>
19611,JUMP_TARGET,-1,"case ""xss_r""",,38,case,22,<empty>
19615,JUMP_TARGET,-1,"case ""xss_s""",,41,case,25,<empty>
19619,JUMP_TARGET,-1,"case ""weak_id""",,44,case,28,<empty>
19623,JUMP_TARGET,-1,"case ""javascript""",,47,case,31,<empty>
19627,JUMP_TARGET,-1,"case ""authbypass""",,50,case,34,<empty>
19631,JUMP_TARGET,-1,"case ""open_redirect""",,53,case,37,<empty>
19635,JUMP_TARGET,-1,default,,56,default,40,<empty>
19949,JUMP_TARGET,-1,"case ""javascript""",,31,case,1,<empty>
19953,JUMP_TARGET,-1,"case ""fi""",,34,case,4,<empty>
19957,JUMP_TARGET,-1,"case ""brute""",,37,case,7,<empty>
19961,JUMP_TARGET,-1,"case ""csrf""",,40,case,10,<empty>
19965,JUMP_TARGET,-1,"case ""exec""",,43,case,13,<empty>
19969,JUMP_TARGET,-1,"case ""sqli""",,46,case,16,<empty>
19973,JUMP_TARGET,-1,"case ""sqli_blind""",,49,case,19,<empty>
19977,JUMP_TARGET,-1,"case ""upload""",,52,case,22,<empty>
19981,JUMP_TARGET,-1,"case ""xss_r""",,55,case,25,<empty>
19985,JUMP_TARGET,-1,"case ""xss_s""",,58,case,28,<empty>
19989,JUMP_TARGET,-1,"case ""weak_id""",,61,case,31,<empty>
19993,JUMP_TARGET,-1,"case ""authbypass""",,64,case,34,<empty>
19997,JUMP_TARGET,-1,"case ""open_redirect""",,67,case,37,<empty>
20001,JUMP_TARGET,-1,default,,70,default,40,<empty>
20120,JUMP_TARGET,-1,"case ""low""",,18,case,1,<empty>
20124,JUMP_TARGET,-1,"case ""medium""",,21,case,4,<empty>
20128,JUMP_TARGET,-1,"case ""high""",,24,case,7,<empty>
20132,JUMP_TARGET,-1,default,,27,default,10,<empty>
20421,JUMP_TARGET,-1,"case ""low""",,18,case,1,<empty>
20425,JUMP_TARGET,-1,"case ""medium""",,21,case,4,<empty>
20429,JUMP_TARGET,-1,"case ""high""",,24,case,7,<empty>
20433,JUMP_TARGET,-1,default,,27,default,10,<empty>
20500,JUMP_TARGET,-1,"case ""French""",,8,case,1,<empty>
20501,JUMP_TARGET,-1,"case ""English""",,9,case,2,<empty>
20502,JUMP_TARGET,-1,"case ""German""",,10,case,3,<empty>
20503,JUMP_TARGET,-1,"case ""Spanish""",,11,case,4,<empty>
20505,JUMP_TARGET,-1,default,,14,default,6,<empty>
20647,JUMP_TARGET,-1,"case ""low""",,18,case,1,<empty>
20651,JUMP_TARGET,-1,"case ""medium""",,21,case,4,<empty>
20655,JUMP_TARGET,-1,"case ""high""",,24,case,7,<empty>
20659,JUMP_TARGET,-1,default,,27,default,10,<empty>
21001,JUMP_TARGET,-1,"case ""low""",,23,case,1,<empty>
21005,JUMP_TARGET,-1,"case ""medium""",,26,case,4,<empty>
21009,JUMP_TARGET,-1,"case ""high""",,29,case,7,<empty>
21013,JUMP_TARGET,-1,default,,32,default,10,<empty>
